size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
3,"1,2,4","(1.500,0.000);(2.000,0.000);(1.500,0.500)","0.18800,0.12500,0.12500",72.38511514937458,1.6666666666666667,0.16666666666666666,0.33333333333333337
3,"1,2,8","(1.500,0.000);(2.000,0.000);(2.000,1.000)","0.18800,0.12500,0.12500",100.38009394285974,1.8333333333333333,0.3333333333333333,0.8333333333333334
3,"1,2,9","(1.500,0.000);(2.000,0.000);(2.500,1.000)","0.18800,0.12500,0.12500",117.13698975404957,2.0,0.3333333333333333,1.1666666666666667
3,"1,2,10","(1.500,0.000);(2.000,0.000);(1.500,1.500)","0.18800,0.12500,0.12500",131.7152762070136,1.6666666666666667,0.5,1.6666666666666667
3,"1,2,5","(1.500,0.000);(2.000,0.000);(2.000,0.500)","0.18800,0.12500,0.25000",135.53390106694553,1.8333333333333333,0.16666666666666666,0.33333333333333337
3,"1,2,3","(1.500,0.000);(2.000,0.000);(2.500,0.000)","0.18800,0.12500,0.18800",142.7611509623284,2.0,0.0,0.5
3,"1,2,12","(1.500,0.000);(2.000,0.000);(2.500,1.500)","0.18800,0.12500,0.12500",145.25849553078154,2.0,0.5,2.0
3,"1,2,6","(1.500,0.000);(2.000,0.000);(2.500,0.500)","0.18800,0.12500,0.18800",175.29373721581615,2.0,0.16666666666666666,0.6666666666666667
3,"1,2,7","(1.500,0.000);(2.000,0.000);(1.500,1.000)","0.18800,0.12500,0.18800",197.57291431052047,1.6666666666666667,0.3333333333333333,0.8333333333333334
3,"1,2,11","(1.500,0.000);(2.000,0.000);(2.000,1.500)","0.18800,0.12500,0.25000",258.3149090837792,1.8333333333333333,0.5,1.6666666666666667
