size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
4,"1,2,5,10","(1.500,0.000);(2.000,0.000);(2.000,0.500);(1.500,1.500)","0.18800,0.12500,0.25000,0.12500",0.0,1.75,0.5,1.75
4,"1,3,6,12","(1.500,0.000);(2.500,0.000);(2.500,0.500);(2.500,1.500)","0.18800,0.18800,0.18800,0.12500",0.0,2.25,0.5,2.25
4,"1,8,10,11","(1.500,0.000);(2.000,1.000);(1.500,1.500);(2.000,1.500)","0.18800,0.12500,0.12500,0.25000",0.0,1.75,1.0,1.75
4,"2,8,9,15","(2.000,0.000);(2.000,1.000);(2.500,1.000);(2.500,2.000)","0.12500,0.12500,0.12500,0.18800",0.0,2.25,1.0,2.25
4,"3,8,9,14","(2.500,0.000);(2.000,1.000);(2.500,1.000);(2.000,2.000)","0.18800,0.12500,0.12500,0.12500",0.0,2.25,1.0,2.25
4,"3,9,10,12","(2.500,0.000);(2.500,1.000);(1.500,1.500);(2.500,1.500)","0.18800,0.12500,0.12500,0.12500",0.0,2.25,1.0,2.25
4,"4,11,13,14","(1.500,0.500);(2.000,1.500);(1.500,2.000);(2.000,2.000)","0.12500,0.25000,0.12500,0.12500",0.0,1.75,1.5,1.75
4,"4,5,8,13","(1.500,0.500);(2.000,0.500);(2.000,1.000);(1.500,2.000)","0.12500,0.25000,0.12500,0.12500",0.0,1.75,1.0,1.75
4,"4,6,9,15","(1.500,0.500);(2.500,0.500);(2.500,1.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.18800",0.0,2.25,1.0,2.25
4,"6,12,13,15","(2.500,0.500);(2.500,1.500);(1.500,2.000);(2.500,2.000)","0.18800,0.12500,0.12500,0.18800",0.0,2.25,1.5,2.25
4,"2,5,6,9","(2.000,0.000);(2.000,0.500);(2.500,0.500);(2.500,1.000)","0.12500,0.25000,0.18800,0.12500",81.6863466284061,2.25,0.5,0.75
4,"3,5,6,8","(2.500,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.000)","0.18800,0.25000,0.18800,0.12500",81.6863466284061,2.25,0.5,0.75
4,"8,11,12,15","(2.000,1.000);(2.000,1.500);(2.500,1.500);(2.500,2.000)","0.12500,0.25000,0.12500,0.18800",81.6863466284061,2.25,1.5,0.75
