size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
5,"10,11,12,14,15","(1.500,1.500);(2.000,1.500);(2.500,1.500);(2.000,2.000);(2.500,2.000)","0.12500,0.25000,0.12500,0.12500,0.18800",96.93335648351635,2.1,1.7,1.0
5,"11,12,13,14,15","(2.000,1.500);(2.500,1.500);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.25000,0.12500,0.12500,0.12500,0.18800",96.93335648351635,2.1,1.8,1.0
5,"4,5,6,8,9","(1.500,0.500);(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000)","0.12500,0.25000,0.18800,0.12500,0.12500",96.93335648351635,2.1,0.7,1.0
5,"8,9,10,11,12","(2.000,1.000);(2.500,1.000);(1.500,1.500);(2.000,1.500);(2.500,1.500)","0.12500,0.12500,0.12500,0.25000,0.12500",96.93335648351635,2.1,1.3,1.0
5,"2,3,4,5,6","(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500)","0.12500,0.18800,0.12500,0.25000,0.18800",96.93335648351636,2.1,0.3,1.0
5,"8,11,12,14,15","(2.000,1.000);(2.000,1.500);(2.500,1.500);(2.000,2.000);(2.500,2.000)","0.12500,0.25000,0.12500,0.12500,0.18800",100.38527658963201,2.2,1.6,1.0
5,"8,9,11,12,14","(2.000,1.000);(2.500,1.000);(2.000,1.500);(2.500,1.500);(2.000,2.000)","0.12500,0.12500,0.25000,0.12500,0.12500",100.38527658963201,2.2,1.4,1.0
5,"2,3,5,6,8","(2.000,0.000);(2.500,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.000)","0.12500,0.18800,0.25000,0.18800,0.12500",100.38527658963204,2.2,0.4,1.0
5,"2,5,6,8,9","(2.000,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000)","0.12500,0.25000,0.18800,0.12500,0.12500",100.38527658963204,2.2,0.6,1.0
5,"4,8,9,11,12","(1.500,0.500);(2.000,1.000);(2.500,1.000);(2.000,1.500);(2.500,1.500)","0.12500,0.12500,0.12500,0.25000,0.12500",103.61329113789846,2.1,1.1,1.4
5,"5,6,8,9,10","(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000);(1.500,1.500)","0.25000,0.18800,0.12500,0.12500,0.12500",103.61329113789846,2.1,0.9,1.4
5,"8,9,11,12,13","(2.000,1.000);(2.500,1.000);(2.000,1.500);(2.500,1.500);(1.500,2.000)","0.12500,0.12500,0.25000,0.12500,0.12500",103.61329113789846,2.1,1.4,1.4
5,"9,11,12,14,15","(2.500,1.000);(2.000,1.500);(2.500,1.500);(2.000,2.000);(2.500,2.000)","0.12500,0.25000,0.12500,0.12500,0.18800",104.86672330450641,2.3,1.6,1.0
5,"2,3,5,6,9","(2.000,0.000);(2.500,0.000);(2.000,0.500);(2.500,0.500);(2.500,1.000)","0.12500,0.18800,0.25000,0.18800,0.12500",104.86672330450644,2.3,0.4,1.0
5,"5,6,8,9,12","(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000);(2.500,1.500)","0.25000,0.18800,0.12500,0.12500,0.12500",104.86672330450644,2.3,0.9,1.0
5,"3,4,5,6,9","(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(2.500,1.000)","0.18800,0.12500,0.25000,0.18800,0.12500",106.35600129340443,2.2,0.5,1.3
