size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
7,"2,3,5,6,8,9,10","(2.000,0.000);(2.500,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000);(1.500,1.500)","0.12500,0.18800,0.25000,0.18800,0.12500,0.12500,0.12500",156.90172216973016,2.142857142857143,0.6428571428571429,2.7142857142857144
7,"4,8,9,11,12,14,15","(1.500,0.500);(2.000,1.000);(2.500,1.000);(2.000,1.500);(2.500,1.500);(2.000,2.000);(2.500,2.000)","0.12500,0.12500,0.12500,0.25000,0.12500,0.12500,0.18800",156.90172216973016,2.142857142857143,1.3571428571428572,2.7142857142857144
7,"5,6,8,9,11,12,13","(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000);(2.000,1.500);(2.500,1.500);(1.500,2.000)","0.25000,0.18800,0.12500,0.12500,0.25000,0.12500,0.12500",156.90172216973016,2.142857142857143,1.1428571428571428,2.7142857142857144
7,"4,5,6,8,9,11,12","(1.500,0.500);(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000);(2.000,1.500);(2.500,1.500)","0.12500,0.25000,0.18800,0.12500,0.12500,0.25000,0.12500",159.80044612011713,2.142857142857143,0.9285714285714286,2.0714285714285716
7,"5,6,8,9,10,11,12","(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000);(1.500,1.500);(2.000,1.500);(2.500,1.500)","0.25000,0.18800,0.12500,0.12500,0.12500,0.25000,0.12500",159.80044612011713,2.142857142857143,1.0714285714285714,2.0714285714285716
7,"8,9,11,12,13,14,15","(2.000,1.000);(2.500,1.000);(2.000,1.500);(2.500,1.500);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.12500,0.12500,0.25000,0.12500,0.12500,0.12500,0.18800",159.80044612011713,2.142857142857143,1.5714285714285714,2.0714285714285716
7,"2,5,6,8,9,11,12","(2.000,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000);(2.000,1.500);(2.500,1.500)","0.12500,0.25000,0.18800,0.12500,0.12500,0.25000,0.12500",163.3922327182718,2.2142857142857144,0.8571428571428571,2.2857142857142856
7,"5,6,8,9,11,12,14","(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000);(2.000,1.500);(2.500,1.500);(2.000,2.000)","0.25000,0.18800,0.12500,0.12500,0.25000,0.12500,0.12500",163.3922327182718,2.2142857142857144,1.1428571428571428,2.2857142857142856
7,"2,8,9,11,12,14,15","(2.000,0.000);(2.000,1.000);(2.500,1.000);(2.000,1.500);(2.500,1.500);(2.000,2.000);(2.500,2.000)","0.12500,0.12500,0.12500,0.25000,0.12500,0.12500,0.18800",164.65317500430166,2.2142857142857144,1.2857142857142858,3.357142857142857
7,"2,3,5,6,8,9,14","(2.000,0.000);(2.500,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000);(2.000,2.000)","0.12500,0.18800,0.25000,0.18800,0.12500,0.12500,0.12500",164.6531750043017,2.2142857142857144,0.7142857142857143,3.3571428571428568
