size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
8,"1,2,3,4,5,6,8,10","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(2.000,1.000);(1.500,1.500)","0.18800,0.12500,0.18800,0.12500,0.25000,0.18800,0.12500,0.12500",205.5745365577874,1.9375,0.5,3.21875
8,"1,2,3,4,5,6,7,13","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(1.500,1.000);(1.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.25000,0.18800,0.18800,0.12500",226.80540319835802,1.875,0.5625,4.59375
8,"1,2,3,4,5,6,7,10","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(1.500,1.000);(1.500,1.500)","0.18800,0.12500,0.18800,0.12500,0.25000,0.18800,0.18800,0.12500",227.29726203106623,1.875,0.5,3.375
8,"1,2,3,4,5,6,7,14","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.000,2.000)","0.18800,0.12500,0.18800,0.12500,0.25000,0.18800,0.18800,0.12500",231.8354615036965,1.9375,0.5625,4.4375
8,"1,2,3,4,5,6,8,9","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000)","0.18800,0.12500,0.18800,0.12500,0.25000,0.18800,0.12500,0.12500",244.10089110580557,2.0625,0.4375,2.4375
8,"1,2,3,4,5,6,7,12","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.500,1.500)","0.18800,0.12500,0.18800,0.12500,0.25000,0.18800,0.18800,0.12500",248.08359200287,2.0,0.5,3.5
8,"1,2,3,4,5,6,7,9","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.500,1.000)","0.18800,0.12500,0.18800,0.12500,0.25000,0.18800,0.18800,0.12500",297.5256635236458,2.0,0.4375,2.71875
8,"1,2,3,4,5,6,7,8","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.000,1.000)","0.18800,0.12500,0.18800,0.12500,0.25000,0.18800,0.18800,0.12500",309.7911136938732,1.9375,0.4375,2.4375
8,"1,2,3,4,5,6,7,11","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.000,1.500)","0.18800,0.12500,0.18800,0.12500,0.25000,0.18800,0.18800,0.25000",379.2000507653305,1.9375,0.5,3.21875
8,"1,2,3,4,5,6,7,15","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.25000,0.18800,0.18800,0.18800",435.7380258536514,2.0,0.5625,4.71875
