size,type,group_indices,group_points,diameters,P_fail_lbf
3,worst,"12,14,15","(2.500,1.500);(2.000,2.000);(2.500,2.000)","0.12500,0.12500,0.18800",50.59323901513687
3,mid,"1,11,14","(1.500,0.000);(2.000,1.500);(2.000,2.000)","0.18800,0.25000,0.12500",214.87910550264405
3,best,"3,7,15","(2.500,0.000);(1.500,1.000);(2.500,2.000)","0.18800,0.18800,0.18800",380.6964025662092
4,worst,"1,2,5,10","(1.500,0.000);(2.000,0.000);(2.000,0.500);(1.500,1.500)","0.18800,0.12500,0.25000,0.12500",0.0
4,mid,"1,10,12,13","(1.500,0.000);(1.500,1.500);(2.500,1.500);(1.500,2.000)","0.18800,0.12500,0.12500,0.12500",249.60035957884529
4,best,"1,3,7,15","(1.500,0.000);(2.500,0.000);(1.500,1.000);(2.500,2.000)","0.18800,0.18800,0.18800,0.18800",499.5079565141567
5,worst,"10,11,12,14,15","(1.500,1.500);(2.000,1.500);(2.500,1.500);(2.000,2.000);(2.500,2.000)","0.12500,0.25000,0.12500,0.12500,0.18800",96.93335648351635
5,mid,"6,7,8,12,15","(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.500);(2.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.18800",320.12757374078694
5,best,"1,3,7,11,15","(1.500,0.000);(2.500,0.000);(1.500,1.000);(2.000,1.500);(2.500,2.000)","0.18800,0.18800,0.18800,0.25000,0.18800",543.5299873629281
6,worst,"1,6,8,9,12,15","(1.500,0.000);(2.500,0.500);(2.000,1.000);(2.500,1.000);(2.500,1.500);(2.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.12500,0.18800",0.0
6,mid,"1,3,4,7,10,14","(1.500,0.000);(2.500,0.000);(1.500,0.500);(1.500,1.000);(1.500,1.500);(2.000,2.000)","0.18800,0.18800,0.12500,0.18800,0.12500,0.12500",301.0362209707119
6,best,"1,3,5,7,11,15","(1.500,0.000);(2.500,0.000);(2.000,0.500);(1.500,1.000);(2.000,1.500);(2.500,2.000)","0.18800,0.18800,0.25000,0.18800,0.25000,0.18800",602.2935912694157
7,worst,"2,3,5,6,8,9,10","(2.000,0.000);(2.500,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000);(1.500,1.500)","0.12500,0.18800,0.25000,0.18800,0.12500,0.12500,0.12500",156.90172216973016
7,mid,"1,2,3,4,5,8,15","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.000,1.000);(2.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.25000,0.12500,0.18800",385.8528430224126
7,best,"1,3,5,7,8,11,15","(1.500,0.000);(2.500,0.000);(2.000,0.500);(1.500,1.000);(2.000,1.000);(2.000,1.500);(2.500,2.000)","0.18800,0.18800,0.25000,0.18800,0.12500,0.25000,0.18800",614.9184400415287
8,worst,"1,2,3,8,9,13,14,15","(1.500,0.000);(2.000,0.000);(2.500,0.000);(2.000,1.000);(2.500,1.000);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.12500,0.12500,0.12500,0.18800",0.0
8,mid,"1,2,4,5,6,10,11,14","(1.500,0.000);(2.000,0.000);(1.500,0.500);(2.000,0.500);(2.500,0.500);(1.500,1.500);(2.000,1.500);(2.000,2.000)","0.18800,0.12500,0.12500,0.25000,0.18800,0.12500,0.25000,0.12500",316.0009376459107
8,best,"1,3,5,6,7,8,11,15","(1.500,0.000);(2.500,0.000);(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.000,1.500);(2.500,2.000)","0.18800,0.18800,0.25000,0.18800,0.18800,0.12500,0.25000,0.18800",632.27561208749
